language,prompt,f1,acc
eng,prompt_1,0.8842443729903537,0.8842443729903537
eng,prompt_2,0.8778135048231511,0.8778135048231511
eng,prompt_3,0.8778135048231511,0.8778135048231511
eng,prompt_4,0.8778135048231511,0.8778135048231511
eng,prompt_5,0.887459807073955,0.887459807073955
amh,prompt_1,0.9234375,0.9234375
amh,prompt_2,0.928125,0.928125
amh,prompt_3,0.9296875,0.9296875
amh,prompt_4,0.9265625,0.9265625
amh,prompt_5,0.9265625,0.9265625
hau,prompt_1,0.9625,0.9625
hau,prompt_2,0.9625,0.9625
hau,prompt_3,0.9625,0.9625
hau,prompt_4,0.959375,0.959375
hau,prompt_5,0.9609375,0.9609375
ibo,prompt_1,0.925,0.925
ibo,prompt_2,0.9265625,0.9265625
ibo,prompt_3,0.9234375,0.9234375
ibo,prompt_4,0.928125,0.928125
ibo,prompt_5,0.93125,0.93125
kin,prompt_1,0.825,0.825
kin,prompt_2,0.825,0.825
kin,prompt_3,0.821875,0.821875
kin,prompt_4,0.8265625,0.8265625
kin,prompt_5,0.8265625,0.8265625
lin,prompt_1,0.915625,0.915625
lin,prompt_2,0.915625,0.915625
lin,prompt_3,0.9125,0.9125
lin,prompt_4,0.9265625,0.9265625
lin,prompt_5,0.921875,0.921875
lug,prompt_1,0.89375,0.89375
lug,prompt_2,0.8796875,0.8796875
lug,prompt_3,0.8859375,0.8859375
lug,prompt_4,0.903125,0.903125
lug,prompt_5,0.89375,0.89375
orm,prompt_1,0.8625,0.8625
orm,prompt_2,0.871875,0.871875
orm,prompt_3,0.865625,0.865625
orm,prompt_4,0.8703125,0.8703125
orm,prompt_5,0.865625,0.865625
sna,prompt_1,0.9546875,0.9546875
sna,prompt_2,0.9609375,0.9609375
sna,prompt_3,0.9609375,0.9609375
sna,prompt_4,0.959375,0.959375
sna,prompt_5,0.9578125,0.9578125
sot,prompt_1,0.78125,0.78125
sot,prompt_2,0.784375,0.784375
sot,prompt_3,0.7859375,0.7859375
sot,prompt_4,0.784375,0.784375
sot,prompt_5,0.7921875,0.7921875
swa,prompt_1,0.9296875,0.9296875
swa,prompt_2,0.925,0.925
swa,prompt_3,0.93125,0.93125
swa,prompt_4,0.925,0.925
swa,prompt_5,0.9359375,0.9359375
xho,prompt_1,0.90625,0.90625
xho,prompt_2,0.9015625,0.9015625
xho,prompt_3,0.9046875,0.9046875
xho,prompt_4,0.9015625,0.9015625
xho,prompt_5,0.90625,0.90625
yor,prompt_1,0.890625,0.890625
yor,prompt_2,0.8953125,0.8953125
yor,prompt_3,0.8859375,0.8859375
yor,prompt_4,0.8875,0.8875
yor,prompt_5,0.89375,0.89375
zul,prompt_1,0.8640625,0.8640625
zul,prompt_2,0.8625,0.8625
zul,prompt_3,0.865625,0.865625
zul,prompt_4,0.859375,0.859375
zul,prompt_5,0.8546875,0.8546875
